Regiao;Bairro
Norte;Buquirinha-Bairro(parte)
Norte;Vila Paiva
Norte;Jardim Boa Vista
Norte;Vl.Paiva-remanescente(069)
Norte;Jardim Santa Matilde
Norte;Vila Cândida
Norte;Vila São Geraldo
Norte;Recanto Caetê
Norte;Caete-Bairro (parte)
Norte;Altos da Vila Paiva
Norte;Conj. Hab. São Geraldo
Norte;Alto da Ponte-Bairro
Norte;Jardim Maritéia
Norte;Vila Leonídia
Norte;Vila N.Sra.das Graças
Norte;Vila Veneziani
Norte;São Sebastião
Norte;Vila Santarém
Norte;Vila Sinhá
Norte;Jardim Guimarães
Norte;Vila Leila
Norte;Vila Monte Alegre
Norte;Vila Leila II(088)
Norte;Vila Unidos
Norte;Caete-Bairro (parte)
Norte;Oliveiras-Ch.(045)
Norte;Miranda-Ch.(049)
Norte;Guimarães-Remanescente(059)
Norte;Minas Gerais
Norte;Vila Dirce
Norte;Jardim Altos de Santana
Norte;Jardim Telespark
Norte;Jaguariuna-Bairro(parte)
Norte;Vila Machado
Norte;Vila Alexandrina (parte)
Norte;Vila do Carmo
Norte;Vila Dona
Norte;Vila Esmeralda
Norte;Vila Simone
Norte;Vila do Pena(073)
Norte;Santana-Bairro
Norte;Jardim Anchieta
Norte;Jardim Nova Paulicéia
Norte;Vila Cristina
Norte;Conj.Res. Nova Cristina
Norte;Jardim Jaci
Norte;Vila Rangel
Norte;Vila Chiquinha
Norte;Jardim Ouro Preto
Norte;Vila Pasto Alto
Norte;Vila Alexandrina (parte)
Norte;Vila César
Norte;Vila Rossi
Norte;Vila Zizinha
Norte;Fav.Vila Rhodia
Norte;Banhado(parte)
Norte;Vargem Grande-Bairro(parte)
Norte;Águas do Canindu-Ch.(037)
Norte;Hawai-Ch.(048)
Norte;Espelho D'Água
Norte;Colinas do Parahyba
Norte;Vargem Grande-Bairro(parte)
Norte;Fazenda Jataí
Norte;Rhodia-Vl.(063)
Centro;Vila São Paulo
Centro;Vila Abel
Centro;Jardim Bela Vista
Centro;Vila Mascarenhas Ferraz
Centro;Vila Santa Helena
Centro;Vila Viaduto
Centro;Vila Santos
Centro;Vila Maria
Centro;Vila Nova São José
Centro;Vila Tupi
Centro;Vila Guarani
Centro;Vila Terezinha
Centro;Vila Nova Guarani
Centro;Vila. Guarani
Centro;Centro
Centro;Vila Paganini
Centro;Vila Santa Cruz II
Centro;Jardim Matarazzo
Centro;Vila Santa Luzia
Centro;Jardim Santos Dumont
Centro;Jardim Vale Paraíso (parte)
Centro;Vila Santa Cruz I
Centro;Favela Vila Nova Esperança
Centro;Conj. Res. Monte Castelo
Centro;Monte Castelo
Centro; Jardim Frei Leopoldo
Centro;Vila Progresso
Centro;Vila Santa Cruz III
Centro;Vila Guarani-Jd Paulista
Centro;Vila Kennedy
Centro;Jardim Jussara
Centro;Residencial Martins Pereira
Centro;Jardim Corinthians
Centro;Vila São Pedro
Centro;Jardim São José-centro
Centro;Jardim Augusta
Centro;Jardim Oswaldo Cruz
Centro;Jardim Vale Paraíso(parte)
Centro;Vila Piratininga
Centro;Jardim Topázio
Centro;Jardim Bandeirantes
Centro;Vila Cardoso
Centro;Vila Ipiranga
Centro;Jardim Paulista
Centro;Vila Nove de Julho
Centro;Vila Igualdade
Centro;Vila Higienópolis
Centro;Vila Paulo Setubal
Centro;Vila Ady'Ana
Centro;Jardim São Dimas
Centro;Jardim Aparecida
Centro;Vila Sanches
Centro;Vila Rubi
Centro;Jardim Azevedo
Leste;Residencial Vista Linda
Leste;Vila Industrial
Leste;Jardim Ismênia
Leste;Jardim Maracanã
Leste;Jardim Olímpia
Leste;Jardim Copacabana
Leste;Jardim Brasília
Leste;Jardim Universo
Leste;Jardim São Jorge
Leste;Vila Ester
Leste;Vila Tesouro
Leste;Chácara dos Eucaliptos
Leste;Rua Projetada (032)
Leste;Vila Patrícia
Leste;Jardim Valparaíba
Leste;Vila Tatetuba
Leste;Conj. Res. Parque das Américas
Leste;Conj. Hab. Intervale
Leste;Conj. Hab. Vila Tatetuba
Leste;Conj. Res. Planalto
Leste;Conj. Integração
Leste;Martins Guimarães-Bairro
Leste;Faz.Pilão Arcado
Leste;Sol Nascente (025)
Leste;Renascer I
Leste;Renascer II
Leste;Conj.Res.Jardim das Flores
Leste;Faz.Taira (parte)
Leste;Faz.Honda (parte)
Leste;Faz.Takanashi (parte)
Leste;Terra Nova São José dos Campos
Leste;Eugênio de Melo
Leste;Jardim Ipê
Leste;Faz.N.Sra.da Conceição(parte)
Leste;Faz.Vila Franca (parte)
Leste;Faz.Toninho Ferreira (parte)
Leste;Jardim Itapuã
Leste;Residencial Galo Branco
Leste;Residencial Armando Moreira Righi
Leste;Res. da Ribeira
Leste;Mantiqueira I e II
Leste;Faz.Taira(parte)
Leste;Faz.Honda(parte)
Leste;Faz.Takanashi(parte)
Leste;Faz.N.Sra.da Conceição(parte)
Leste;Faz.Vila Franca(parte)
Leste;Faz.Toninho Ferreira(parte)
Leste;Jardim Santa Inês I
Leste;Jardim São José-leste
Leste;Jardim Santa Inês III
Leste;Conj. Hab. São José
Leste;Jardim Coqueiro (008)
Leste;Frei Galvão
Leste;Jardim Castanheiras
Leste;Jardim Paraíso do Sol
Leste;Jardim Nova Michigan
Leste;Araújo-Ch. (002)
Leste;Águas da Prata-Ch. (079)
Leste;Cajurú-Bairro (parte)
Leste;Residencial Dom Bosco
Leste;Santa Helena (020)
Leste;Jardim das Paineira I e II
Leste;Mato Dentro-Bairro (parte)
Leste;Jd. San Rafael
Leste;Nova Michigam-Ch. II, III e IV (026)
Leste;Parque Novo Horizonte
Leste;Jardim Cerejeiras
Leste;Parque Nova Esperança
Leste;Capão Grosso-Bairro
Leste;Bica D'Água(003)
Leste;Ch. Capão Grosso I(005)
Leste;Castanheira II(007)
Leste;Morada do Fenix(012)
Leste;Santa Maria I(023) Ch. Sitio Jatai
Leste;Bom Retiro-Bairro(parte)
Leste;Capão Grosso II(006)
Leste;Ebenezer(010)
Leste;Ch.Majestic(011)
Leste;Morada do Sol(013)
Leste;Portal do Céu(014)
Leste;Primavera II(016)
Leste;Santa Rita(024)
Leste;Rec.dos Lagos(028)
Leste;Jd. Sta. Lucia(033)
Leste;Cambucá(036)
Leste;Lucio de Oliveira Mota
Leste;Mato Dentro-Bairro
Leste;Bairrinho-Bairro
Leste;N.Sra.do Bom Retiro
Leste;Bom Retiro-Bairro (parte)
Leste;Ch. Boa Esperança(004)
Leste;Ch.São Vicente(009)
Leste;Primavera I(015)
Leste;Sta. Hermínia(021)
Leste;Sítio Encantado(024)
Leste;Vila Matilde(035)
Leste;Fazenda Bom Retiro
Leste;Jardim São Vicente
Leste;Jardim Nova Detroit
Leste;Jardim Pararangaba
Leste;Jardim Santa Inês II
Leste;Mirante I e II
Leste;Jardim Americano
Leste;Jardim Três José
Leste;Jardim Nova Florida
Leste;Campos de São José
Leste;Cajurú - Bairro (parte)
Leste;Jardim Mariana
Leste;Chácara Pousada do Vale
Leste;Jardim Diamante
Leste;Jardim Motorama
Leste;Cidade Vista Verde
Leste;Condomínio Floresta
Leste;Vilaggio D'Antonini
Leste;Conj. Res. JK
Leste;Ressaca-Bairro
Leste;Jardim Mariana II
Leste;Santa Cecília I(018)
Leste;Santa Cecília II(019)
Leste;Maravilhas do Cajuru(031)
Leste;Serrote - Bairro
Leste;Serrote-Ch.(001)
Leste;Recanto do Vale(017)
Leste;Ch. Santa Luzia(022)
Leste;Vila Monterey,
Leste;Jardim Helena
Leste;Res. Ana Maria
Oeste;Jardim das Indústrias
Oeste;Jardim Alvorada
Oeste;Jardim Por do Sol
Oeste;Limoeiro-Bairro (acima curva de nível 555m.)
Oeste;Rua da Palha (084 parte)
Oeste;Limoeiro-Bairro (abaixo curva de nível 555)
Oeste;Rua da Palha (084 parte)
Oeste;Jardim Colinas
Oeste;Jardim Aquarius
Oeste;Bosque Imperial
Oeste;Residencial Sunset Park
Oeste;Parque Residencial Aquarius
Oeste;Jardim Altos do Esplanada
Oeste;Jardim Cassiano Ricardo
Oeste;Royal Park
Oeste;Urbanova
Oeste;Jaguariuna-Bairro (parte)
Oeste;Beira Rio
Sul;Parque Interlagos
Sul;Pernambucana de Baixo-Bairro
Sul;Jardim Mesquita(082)
Sul;Terrinha(094)
Sul;Torrão de Ouro-Ch.I e II(083)
Sul;R. Pinheirinho(085)
Sul;Caramujo
Sul;Torrão de Ouro
Sul;Campo dos Alemães
Sul;Parque dos Ipês
Sul;Res. Altos do Bosque
Sul;Conj. Hab. Dom Pedro II
Sul;Conj. Res. Papa João Paulo II
Sul;Conj. Hab. Dom Pedro I
Sul;Conj. Hab. Elmano F. Veloso
Sul;Jardim Colonial
Sul;Jardim Imperial
Sul;Pinheirinho
Sul;Capitingal-Bairro
Sul;Jardim República
Sul;Jardim Nova República
Sul;Vila das Flôres
Sul;Jd Santa Edwiges
Sul;Jd. Dos Bandeirantes
Sul;Jardim Cruzeiro do Sul
Sul;Bosque dos Eucaliptos
Sul;Quinta das Flores
Sul;Jardim Estoril
Sul;Jardim Madureira
Sul;Jardim Del Rey
Sul;Jardim Portugal
Sul;Conjj. Res. Primavera
Sul;Jardim Satélite
Sul;Residencial Jardins
Sul;Floradas de São José
Sul;Conj. Res. Cidade Jardim
Sul;Jardim Anhembi
Sul;Jardim América
Sul;Jardim Paraíso
